주차장명,전화번호,위도,경도,주소
부산문화회관,051-607-6114,35.12718603,129.0934767,부산광역시 남구 유엔평화로76번길 1(대연동)
부산우체국뒤,051-600-4556,35.10341183,129.035541,부산광역시 중구 중앙동3가 20
부산지방국세청,051-750-7200,35.17680067,129.0781791,부산광역시 연제구 연제로12
부산지방노동청,051-850-6343,35.17807302,129.0770102,부산광역시 연제구 연제로36
부산지방법원 동부지원,051-780-1114,35.18922837,129.1297958,부산광역시 해운대구 재반로 112번길 20
부산진구국민체육센터,051-710-7628,35.1553868,129.0737693,부산광역시 부산진구 진남로328번길 35
부산진구청,051-605-4165,35.16283294,129.0531876,부산광역시 부산진구 시민공원로 30
부산진세무서,051-461-9241,35.13042968,129.0467349,부산광역시 동구 진성로 23
부전역공영주차장,,35.16347837,129.0618455,부산광역시 부산진구 부전동 46번지
북구청,051-309-4157,35.19687972,128.9900906,부산광역시 북구 낙동대로1570번길 33(구포동)
사상전화국주변,051-310-4515,35.14712874,128.991539,부산광역시 사상구 학장동 281-9 일원
사상초등학교주변,051-310-4515,35.16760677,128.9851357,부산광역시 사상구 덕포동 752-3 일원
사하구국민체육센터,051-202-3800,35.08943257,128.9988778,부산광역시 사하구 감천로 68 (감천동)
사하구청,051-220-4881,35.10450217,128.9747879,부산광역시 사하구 낙동대로398번길 12 (당리동)
사하구청 제2청사,051-220-0092,35.09496298,128.9615461,부산광역시 사하구 하신중앙로 185 (신평동)
삼락재첩거리주변,051-310-4515,35.19343513,128.9858321,부산광역시 사상구 삼락동 70-21 일원
서구 구덕문화공원,051-240-3521,35.12641445,129.0057482,부산광역시 서구 꽃마을로163번길 73
서구청,051-240-4152,35.09753855,129.023424,부산광역시 서구 구덕로120
서대신4동 주민센터,051-240-6502,35.11924335,129.0117487,부산광역시 서구 꽃마을로 58(서대신동3가)
선동주차장,051-519-4516,35.26549324,129.1094238,부산광역시 금정구 선동 720-2
수영구보건소,051-610-5610,35.16247327,129.1134875,부산광역시 수영구 수영로 637-5
"수영만요트경기장, 부산영화촬영스튜디오",051-741-6440,35.16249687,129.1380749,부산광역시 해운대구 해운대해변로 52
수영세무서,051-620-9246,35.14353771,129.1112429,부산광역시 수영구 남천동로19번길 28
수정2동제3공영주차장,051-440-4742,35.12863759,129.0444517,부산광역시 동구 수정동 823-22번지
신일금속주변,051-310-4515,35.14700581,128.9789607,부산광역시 사상구 학장동 723-1 일원
신한은행 부산금융센터뒤,051-600-4556,35.09943604,129.0356113,부산광역시 중구 동광동1가 2
안락1동 행정복지센터,051-550-6508,35.19689833,129.0985732,부산광역시 동래구 안연로 110번길9
안락2동 행정복지센터,051-550-6529,35.1977489,129.11006,부산광역시 동래구 명안로18번길 103(안락동)
암남동 주민센터,051-240-6669,35.07989182,129.0209553,부산광역시 서구 충무대로 83
엄궁외식1번가주변,051-310-4515,35.12658552,128.967064,부산광역시 사상구 엄궁동 652-7 일원
연제구청,051-665-4222,35.17620985,129.0797412,부산광역시 연제구 연제로2
영도구청,051-419-4164,35.09121408,129.0679144,부산광역시 영도구 태종로423
영도상수도사업소,051-669-5104,35.09157506,129.0482664,부산광역시 영도구 봉래동4가 184-24
영도어린이영어도서관,051-419-5671,35.08860879,129.0389287,부산광역시 영도구 절영로 71
외양포 전망대 주차장,051-970-4562,35.01026691,128.8270283,부산광역시 강서구 대항동 산13-29번지 일원
우2동 주민센터,051-749-5821,35.17120479,129.1399308,부산광역시 해운대구 해운대로383번가길 7
위생처리장주변,051-310-4515,35.13710126,128.9686479,부산광역시 사상구 감전동 509-11 일원
일광면사무소,051-709-5214,35.26420388,129.2322638,부산광역시 기장군 일광면 일광로 77-7
자갈치시장 앞,051-600-4556,35.09832485,129.0306178,부산광역시 중구 남포동4가 37-2
장림1동행정복지센터,051-220-5271,35.08305803,128.9668672,부산광역시 사하구 장림로161번길 2 (장림동)
장림2동행정복지센터,051-220-5301,35.07787384,128.9726285,부산광역시 사하구 장평로 131 (장림동)
장안읍사무소,051-709-5175,35.31352295,129.2439979,부산광역시 기장군 장안읍 좌방길 5
재송어린이도서관,051-749-6086,35.18963089,129.1184919,부산광역시 해운대구 해운대로76번길 35-1
정관도서관,051-709-3934,35.32528904,129.1817303,부산광역시 기장군 정관면 정관중앙로 100
정관읍사무소,051-709-5241,35.3255014,129.1802926,부산광역시 기장군 정관읍 용수로 4
좌2동 주민센터,051-749-5861,35.16909159,129.1826027,부산광역시 해운대구 좌동순환로 302
좌4동 주민센터,051-749-5881,35.17787894,129.1762419,부산광역시 해운대구 좌동순환로 183
주례역공영주차장,051-310-4515,35.14999971,129.0041072,부산광역시 사상구 주례동 506 일원
주례오거리공영주차장,051-310-4515,35.15090425,129.0004636,부산광역시 사상구 주례동 743-2 일원
중2동 주민센터,051-749-5841,35.16195072,129.1791075,부산광역시 해운대구 좌동순환로433번길 34
중앙동 국제회관옆,051-600-4556,35.09882794,129.0360972,부산광역시 중구 중앙동6가 9-1
중앙동 노상주차장,051-600-4556,35.10851001,129.0380846,부산광역시 중구 중앙동4가 91
중앙동 유창빌딩앞,051-600-4556,35.10375639,129.036357,부산광역시 중구 중앙동4가 26-3
지양곡 공영주차장,051-970-4562,35.02162626,128.8228693,부산광역시 강서구 천성동 270-2번지 일원
철마면사무소,051-709-5271,35.27493186,129.1497817,부산광역시 기장군 철마면 철마로 485
파라곤호텔주변,051-310-4515,35.16191198,128.9804458,부산광역시 사상구 괘법동 565-6 일원
하단1동행정복지센터,051-220-5151,35.10396467,128.9642406,부산광역시 사하구 하신중앙로 308 (하단동)
하단2동행정복지센터,051-220-5185,35.11458576,128.9605264,부산광역시 사하구 하신번영로 377 (하단동)
학장동주민센터주변,051-310-4515,35.14409856,128.9873101,부산광역시 사상구 학장동 386-1 일원
학장지구대주변,051-310-4515,35.14614904,128.9845693,부산광역시 사상구 학장동 242-1 일원
한국강관주변,051-310-4515,35.14763973,128.9730092,부산광역시 사상구 감전동 949-7 일원
해운대구문화복합센터,051-741-6153,35.18218753,129.1211894,부산광역시 해운대구 센텀중앙로 170
해운대구보건소,051-749-7504,35.16410942,129.1786558,부산광역시 해운대구 양운로37번길 59
해운대구청,051-749-4164,35.16313782,129.1635601,부산광역시 해운대구 중동2로 11
해운대인문학도서관,051-749-6574,35.20224078,129.1263083,부산광역시 해운대구 반여로 132
해표사료주변,051-310-4515,35.15725571,128.9754946,부산광역시 사상구 감전동 127-1 일원
행복마을 공영주차장,051-970-4562,35.08661484,128.9103773,부산광역시 강서구 명지동 3254-7
화명1동주민센터,051-309-6308,35.23278402,129.0137846,부산광역시 북구 금곡대로 274(화명동)
화명2동주민센터,051-309-6324,35.24361279,129.0198418,부산광역시 북구 양달로 58(화명동)
화명3동주민센터,051-309-6342,35.23186884,129.010049,부산광역시 북구 화명신도시로 85(화명동)
화명도서관,051-309-6482,35.2321898,129.0093939,부산광역시 북구 화명대로12번길 59(화명동)
기장군청 신천리 공영주차장,051-709-4162,35.179928,129.075091,부산광역시 기장읍 신천리298
정관보건지소,051-709-2910,35.16234629,129.0552449,부산광역시 정관읍 용수로 11
중구청,051-600-4552,35.10619736,129.0323514,부산광역시 중구 중구로 120
오륜동공영주차장,051-519-4516,35.24737353,129.1017708,부산광역시 금정구 오륜동 672-6
강서구청역 역세권 주차장,051-970-4562,35.21209992,128.979556,부산광역시 강서구 대저1동 2287번지
명지동 주민자율 주차장,051-970-4562,35.11060927,128.9224479,부산광역시 강서구 명지동 3321-2
